Article Name,Article Link,Article Poster,Article Date
About Missions Proposals,https://gov.optimism.io/t/about-missions-proposals/5869,N/A,"June 21, 2023"
[READY] [GF: Phase 1 Proposal] Balancer & BeethovenX,https://gov.optimism.io/t/ready-gf-phase-1-proposal-balancer-beethovenx/2658,N/A,"December 10, 2024"
[READY] [GF: Phase 1 Proposal] ParaSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-paraswap/2228,N/A,"November 6, 2024"
[READY] [GF: Phase 1 Proposal] Beefy,https://gov.optimism.io/t/ready-gf-phase-1-proposal-beefy/2967,N/A,"October 31, 2024"
[GF: Phase 0 Proposal] Synapse Protocol,https://gov.optimism.io/t/gf-phase-0-proposal-synapse-protocol/928,N/A,"October 9, 2024"
[FINAL] Thank Optimism - powered by ThriveCoin,https://gov.optimism.io/t/final-thank-optimism-powered-by-thrivecoin/6104,N/A,"October 1, 2024"
[REVIEW] [GF: Phase 1 Proposal] LI.FI,https://gov.optimism.io/t/review-gf-phase-1-proposal-li-fi/3360,N/A,"August 12, 2024"
[READY] [GF: Phase 1] Sushi - Part 1,https://gov.optimism.io/t/ready-gf-phase-1-sushi-part-1/3301,N/A,"July 23, 2024"
[DRAFT][GF: Phase 1] Growth Experiments Grant: BTC holders bridge to Ethereum in a trust-minimized way,https://gov.optimism.io/t/draft-gf-phase-1-growth-experiments-grant-btc-holders-bridge-to-ethereum-in-a-trust-minimized-way/5638,N/A,"July 19, 2024"
[FINAL] Rumbo Optimista - Hacia Ethereum Mexico The Event || Optimistic Road in the way to Ethereum México The Event,https://gov.optimism.io/t/final-rumbo-optimista-hacia-ethereum-mexico-the-event-optimistic-road-in-the-way-to-ethereum-mexico-the-event/6179,N/A,"July 15, 2024"
[READY] [GF: Phase 1 Proposal] Across Protocol (updated template),https://gov.optimism.io/t/ready-gf-phase-1-proposal-across-protocol-updated-template/3401,N/A,"June 18, 2024"
[FINAL] DAOstar: Governance standards for the Optimism ecosystem,https://gov.optimism.io/t/final-daostar-governance-standards-for-the-optimism-ecosystem/6181,N/A,"June 11, 2024"
[FINAL] OP Governance Analytics Dashboard,https://gov.optimism.io/t/final-op-governance-analytics-dashboard/6171,N/A,"June 4, 2024"
[FINAL] Scry Protocol - Fully Decentralized and Independent Oracle and Data Infrastructure,https://gov.optimism.io/t/final-scry-protocol-fully-decentralized-and-independent-oracle-and-data-infrastructure/6141,N/A,"May 9, 2024"
[FINAL] Velodrome: Spread Awareness Through Direct Outreach and Onboarding,https://gov.optimism.io/t/final-velodrome-spread-awareness-through-direct-outreach-and-onboarding/6180,N/A,"March 22, 2024"
Optimism by Brelgin,https://gov.optimism.io/t/optimism-by-brelgin/7737,N/A,"February 29, 2024"
"[FINAL] Web3xplorer - A curated web platform to discover useful web3 apps, resources and tools",https://gov.optimism.io/t/final-web3xplorer-a-curated-web-platform-to-discover-useful-web3-apps-resources-and-tools/6143,N/A,"February 5, 2024"
[FINAL] Extend the L1Block contract to store historical block hash data,https://gov.optimism.io/t/final-extend-the-l1block-contract-to-store-historical-block-hash-data/6103,N/A,"January 24, 2024"
[READY] [GF: Phase 1 Proposal] Dragonia,https://gov.optimism.io/t/ready-gf-phase-1-proposal-dragonia/3107,N/A,"January 12, 2024"
[FINAL] Optimistic Womxn Shining in Blockchain,https://gov.optimism.io/t/final-optimistic-womxn-shining-in-blockchain/6140,N/A,"January 1, 2024"
[FINAL] OPdelegate.com,https://gov.optimism.io/t/final-opdelegate-com/6176,N/A,"December 15, 2023"
"[READY] [GF: Phase 1] xToken Terminal, Gamma Strategies, and Uniswap V3 Staker",https://gov.optimism.io/t/ready-gf-phase-1-xtoken-terminal-gamma-strategies-and-uniswap-v3-staker/3001,N/A,"December 14, 2023"
[FINAL] Improving Governance Accessibility through Praise and Contribution Based Attestations,https://gov.optimism.io/t/final-improving-governance-accessibility-through-praise-and-contribution-based-attestations/6150,N/A,"December 3, 2023"
[READY] [GF: Phase 1 Proposal] KyberSwap,https://gov.optimism.io/t/ready-gf-phase-1-proposal-kyberswap/4068,N/A,"November 7, 2023"
[FINAL] Spread Optimistic values accross Latam with Solow,https://gov.optimism.io/t/final-spread-optimistic-values-accross-latam-with-solow/6174,N/A,"November 2, 2023"
[FINAL] Spearbit + Immunefi Bug Bounty Program for Large Protocols Building on Optimism,https://gov.optimism.io/t/final-spearbit-immunefi-bug-bounty-program-for-large-protocols-building-on-optimism/6187,N/A,"October 3, 2023"
[FINAL] Superchain Governance Deep Dive,https://gov.optimism.io/t/final-superchain-governance-deep-dive/5920,N/A,"October 4, 2023"
[FINAL] The RetroPGF Podcast,https://gov.optimism.io/t/final-the-retropgf-podcast/6182,N/A,"October 1, 2023"
[FINAL] Develop the most relevant and aligned audiovisual content for the Optimism Collective,https://gov.optimism.io/t/final-develop-the-most-relevant-and-aligned-audiovisual-content-for-the-optimism-collective/6153,N/A,"September 29, 2023"
[FINAL] Let's take the Optimistic Vision to LATAM with Espacio Cripto,https://gov.optimism.io/t/final-lets-take-the-optimistic-vision-to-latam-with-espacio-cripto/6157,N/A,"September 28, 2023"
