Article Name,Article Link,Article Poster,Article Date
Inflation Adjustment Proposal Template,https://gov.optimism.io/t/inflation-adjustment-proposal-template/5923,N/A,"May 9, 2024"
About the Policies  and Templates 📌 category,https://gov.optimism.io/t/about-the-policies-and-templates-category/4711,N/A,"January 19, 2023"
Season 7: Collective Reward Framework,https://gov.optimism.io/t/season-7-collective-reward-framework/8112,N/A,"December 6, 2024"
Charter Amendment Process,https://gov.optimism.io/t/charter-amendment-process/9316,N/A,"November 26, 2024"
Operating Budget Template,https://gov.optimism.io/t/operating-budget-template/9318,N/A,"November 26, 2024"
Charter Template,https://gov.optimism.io/t/charter-template/9319,N/A,"November 26, 2024"
Internal Operating Procedures Template,https://gov.optimism.io/t/internal-operating-procedures-template/9317,N/A,"November 26, 2024"
Retro Funding 6: Self-dealing Policy,https://gov.optimism.io/t/retro-funding-6-self-dealing-policy/9174,N/A,"November 1, 2024"
Retro Funding 5: Bribery Policy,https://gov.optimism.io/t/retro-funding-5-bribery-policy/8948,N/A,"September 30, 2024"
Retro Funding 5: Self-Dealing Policy,https://gov.optimism.io/t/retro-funding-5-self-dealing-policy/8947,N/A,"September 30, 2024"
Round 4 Bribery Policy,https://gov.optimism.io/t/round-4-bribery-policy/8281,N/A,"June 28, 2024"
Season 6 Opensource Draft Charter,https://gov.optimism.io/t/season-6-opensource-draft-charter/8146,N/A,"June 21, 2024"
Season 6: Charter-Aware Upgrade Proposal Template,https://gov.optimism.io/t/season-6-charter-aware-upgrade-proposal-template/8134,N/A,"November 21, 2024"
Navigating the Forum,https://gov.optimism.io/t/navigating-the-forum/4726,N/A,"January 24, 2023"
